Company Name,Reviewer's Name,Reviewer's Position,Reviewer's Company,Score,Review Title,Pros,Cons,Likelihood to Recommend,Use Cases and Deployment Scope,Alternatives Considered,Other Software Used
groove,William Reese,CIO,United Way of Buffalo & Erie County,Score 10 out of 10,"Review: ""Groove-y app for keeping your Gmail and Salesforce contacts synced!""","['Matching inbox Contacts to Salesforce contacts', 'Email Logging', 'Email Tracking', 'Adding new Contacts on the fly from within Gmail interface']","['There are too many Groove buttons/links in the Gmail interface and on the Chrome browser. Users can and do get confused what button pertains to which function set.', 'It would be nice if Groove also worked in Firefox browser.', 'Calendar sync can be unreliable at times. A couple of users prefer to use their Salesforce calendars first and foremost and sync to Gmail calendar. If they delete an invite to an All Staff meeting from Salesforce, Groove notifies everyone that the meeting was canceled on the Gmail side.', 'How about adding a mobile app that can integrate to the Gmail mobile app?']","Well suited for the desktop browser environment and only the Chrome browser. Also well suited for logging and tracking of emails, selectively or for all email sends/recipients. Generally good for contact matching, though if one uses the Salesforce NPSP objects, Groove might not match someone easily for whom we have multiple email addresses.

Not well suited for users that rely on mobile interface first (or foremost) and users that accidentally use Internet Explorer, Firefox etc.",Groove is used by the members of two customer-facing departments to integrate email (Google) to Salesforce. Logging these emails to Salesforce contact records is helpful to the organization overall to see what has been discussed with whom at least in that communication medium. We also use the tracking feature to see if and when the recipient opened any given email.,"Cirrus Insight
We initially used Cirrus Insight. This was a good application, but was not very reliable in terms of loading for the user and syncing emails and calendar events. We frequently required the developer to ""bootstrap"" the app from their end. Groove improved on reliability (and cost was a bit more nonprofit friendly as well).","Salesforce.com, Salesforce Marketing Cloud Email Studio, G Suite, TeamGantt, Spanning Backup for G Suite, FormAssembly, Webroot SecureAnywhere"
groove,Lucy Boone,Sales Engineer,BloomNation,Score 9 out of 10,"Groove Review: ""Good Little Product""","['Templates - easy to use, team really loves them.', 'Open tracking is helpful for engagement.', 'Logs email quickly & accurately to Salesforce.']","[""Doesn't sync tasks from Salesforce, only events."", ""When creating an event in Salesforce, invites the contact/lead, even if you don't want to.(For our demos, we attach the event to the Salesforce object, but only invite the AE, not the prospect.)"", 'Activity & notifications are seen by clicking into the Chrome extension, which is a small icon in the toolbar. I wish it were more prominent.']","Really stable, easy to use functionality if you're wanting to make sure all email touches are appropriately logged in Salesforce. It's a pretty straightforward use case.","Groove is being used by our sales team (SDRs, AEs, and our Sales Opps Manager) to track email activity back to Salesforce, sync Salesforce & Google calendar, and allow more proactive email engagement, by tracking email opens so reps can follow up real-time.","We switched to Groove from Cirrus Insight, which was extremely unreliable & buggy. We also demo'd Ebsta, but my sales team preferred the user experience Groove offered; they found it smoother & a more natural integration with Salesforce and Gmail.","Kixie, JIRA Software, Atlassian Confluence"
groove,Gretchen Barton,Sr. Insight Manager,Olson Zaltman,Score 10 out of 10,"User Review: ""Groove keeps me feeling groovy!""","[""Mass Mailings - Unbelievable. When you're reaching out to everyone and their mother, Groove helps you keep track of your work in the most intuitive way ever!"", ""Reporting - Not only will you be able to track who you reached out to and when, you'll be able to see who is most interested/engaged with your communications and will be prompted to reach out to those folks first!"", ""Integration - You're able to consolidate your workflow, working directly out of Groove, because of its sync with Salesforce and with your email. You can easily import and tweak contact information, push your notes right into Salesforce from the platform and engage with your sales information quickly and easily.""]","['FWIW, Groove is INCREDIBLY responsive to client requests and has done a lot of tweaks in the past based on client suggestions, so with that in mind, the only thing that I recall wanting and not having when I last used Groove was being able to import LinkedIn contacts (without their email or phone) and tracking reach outs to them over LinkedInmail. That was pretty much it.']","Groove is incredibly well-suited to sales and marketing that's tracked in a CRM. When you have folks who are reaching out to a large variety of people and seeding the market, there's nothing else like it that's so responsive and intuitive and easy to manage. In terms of scenarios where it's less appropriate, I imagine situations in which there was no value in knowing when people opened your email and/or you didn't need to keep track of when you last reached out to folks en masse, you wouldn't need Groove.","Groove is awesome! It's used at my company to track our sales efforts, to support mass mailing campaigns and to consolidate our workflow. It's used exclusively by the sales department, though I could easily see its use expanding across the larger organization. The business problems it addresses are the ability to track what we're doing, to help people remember who they contacted, to see if our prospects opened their emails and when and how frequently they opened them, and to help us manage our reach out efforts based on interest and engagement rates.","Yesware
Compared to Yesware (which I do love), Groove is a more fully integrated and comprehensive sales tracking platform. Yesware provides a lot of detail in terms of the exact moment folks are opening your email (which I do love), but lacks the mass mailing features which really take the Groove experience to the next level.","Zoom, Google Hangouts"
groove,Briana Werner,Customer service/ Early Collections,ASCAP,Score 9 out of 10,"Review: ""Groove is easy and simple to use. Makes the work process swift!""","['It makes the transition from Salesforce to Gmail smooth', 'Using Groove in Gmail is easy, the buttons and links are easy to locate and utilize.', 'Groove makes it easy to ensure you are attaching the email to the correct contact and account.']","['I am not able to use the templates. My company has templates in Salesforce, which we should be able to use in Groove, but I am not able to get it to work properly.', 'I am only able to use Groove while using Google Chrome as my browser. Unable to locate or use in Firefox, which I sometimes like to use with Salesforce.']","Groove really makes the workflow easier for my day to day tasks. I can easily log customers' emails without going through the torturing process of copying and pasting to Salesforce. With Groove, one click of a button and the email is logged. It really makes my job quicker and more efficient. I do not really have anything bad to say about Groove. I would advise anyone who has to log emails from Gmail to another system to use Groove.",We utilize Groove to log incoming emails in our Google accounts into Salesforce. We can also use templates from Salesforce in Google due to the use of Groove. I think most of the sales and customer service teams use Groove. It has become a tool that my colleagues and myself use every day.,,
groove,Hannah Smith,US Sales Manager,"LegWorks, Inc.",Score 9 out of 10,"Groove Review: ""Solid tool for building account follow up tactics""","['Tracking email opens & clicks. This helps me to know who has the potential to respond to email and who I should probably stick to phone calls.', 'Scheduling emails to be sent. This helps me to send e-mails at times that they are more likely to be read by the recipient. Its particularly helpful when sending emails across different time zones!', 'OmniBar. Groove has a side bar that opens in Gmail so you are able to see account information as you open or format an email. You can see open rate, click rate, and any high level notes that my have been previously been entered by you or a teammate about that account.']","['Open and Click rates. These can be deceiving because often times an email is forwarded and opened by people other than the recipient. These opens count toward the open/click rates for the original recipient.', 'Logging. To my knowledge, emails are only logged to Salesforce when you have both programs open. Therefore, emails sent from my phone or sent while not logged into Salesforce, do not get automatically logged.', 'Hyperlinks. Sometimes hyperlinks within an email can get completely reconfigured to go through Groove initially. This has occurred when copy/paste is used from email to email. The newly titled links seem to work the same but it could cause suspicion or confusion for the recipient.']",I personally love Groove for follow ups done after a large tradeshow. It helps me see the truly interested leads' engagement and focus my ongoing follow up.,"We use Groove in conjunction with Salesforce and Gmail. Groove logs email communications with accounts seamlessly. This results in more efficient documentation across the team. Additionally, we are able to see engagement with email communications.","SalesforceIQ Inbox
Groove was better than SalesforceIQ in every aspect. More affordable. More user friendly. Less glitchy.","MailChimp, Salesforce Lightning, Asana"
groove,Andrew Reese,Enterprise Account Executive,RealtimeBoard,Score 10 out of 10,"Groove Review: ""Great email tool for sales teams""","['Mass emailing', 'Great Gmail and Salesforce integrations', 'Quick and easy to add users to flows on the fly']","['It would be helpful to have an easier way to execute all of the flows at once instead of going through each one individually', 'Has some great features within the SFDC integration, but it could use some additional sorting options']","Groove is great for sales teams and marketing teams at startups, but it might be harder to manage with large companies/teams. It's great for setting up several different flows for different types of scenarios and doing the initial outreach, which is all I've used it for, so I can't really speak to what it can't do.","Our sales team gets quite a few inbound leads, so we use this as a quick and streamlined way to connect with the new leads and manage follow ups. It's a really easy way to quickly put different leads in the appropriate ""flow"" (it's basically a mini email campaign) in order to connect with them.",This is the only tool I've used.,"Salesforce Lightning, G Suite"
groove,Greg Larsen,Head of Sales Strategy and Operations,Lingotek,Score 9 out of 10,"Groove Review: ""Best tool on the market""","['Easy-to-use interface and user controls', 'Complete customization of the app to integrate with Salesforce exactly how we want it', 'The data analytics and reporting functionality are superb in identifying the best email templates and cadences.', 'The pricing is more on-par with the value. Not over-priced like some of their competitors.', 'Small team, but very nimble and willing to listen to customers. They respond quickly to any customer service request.']","['User management on the admin side is a little confusing at times.', 'Sharing templates amongst reps and teams has been a little finicky in the past, but seems to be fixed for us now.']","Groove is a perfect prospecting tool for a growing SaaS company that is looking to add some automation and efficiency to their prospecting process. They are priced in a good range for you to not have to ramp your license count and you can get going very quickly with them. If you are looking for a tool that is going to adapt to your process and strategy rather than you having to adapt to its process and capability, then Groove is the right tool for you.","We use Groove across multiple departments at Lingotek. Our sales team uses Groove to create efficiencies in the email prospecting process. They are able to create flows that allow us to create consistency in our prospecting efforts. These flows also allow us to decrease the time to onboard and ramp a new sales rep. They give us analytics on which strategies and email templates are having the most success so that we can make changes and increase our chances of success in the future.

In our customer service department we use Groove to make sure that all customer interactions are automatically logged to Salesforce.","Outreach, SalesLoft, Yesware, ToutApp and Cirrus Insight
Groove can go head to head with any other prospecting tool on the market. As they increase their customer base, they will no doubt continue to scale the product and in turn gain more clients. They have many of the same features as other key players in their vertical, but in my opinion they are scaling the right way and adding features as their clients need them rather than forcing clients to pay for features that are not valuable to them.","Salesforce CPQ (formerly SteelBrick), Zendesk"
groove,Mustafa Hubaishi,Account Executive,RealtimeBoard,Score 8 out of 10,"User Review: ""Groove - thanks!""","['Reminders', 'Email cadences', 'Add-on with LinkedIn for a deeper dive and missing information', 'Shared and saved templates', 'Analytics', 'Gmail add-on']",['LinkedIn Prospector is being removed in July'],"Suited:
If you have a lot of leads or inbound leads to address and need a system that can cater to unique messages that can be replicated and customized on the fly.
If you're managing a large pipeline and need a system to help organize your process and stay on top of work.","Groove is being used by my department. It's a good way to send a personalized email to a potential customer with a cadence. It allows you to share templates across the team and look at analytics to see which cadences worked best with the most open rates for example. It also helps set reminders for each prospect or client with the GMAIL add-on. Further, it integrates with LinkedIn as an Add-on called Groove Prospector and that integrates with SFDC to help you find contact information such as email addresses. I would recommend Groove as it boosts productivity and helps the team stay organized. Finally, it ensures you don't miss an email or call with the reminder feature.","Cirrus Insight, Nimble and HubSpot Sales
The Groove UI is much more intuitive, which makes it easier to use and help others understand. The integrations and add-ons are way more comprehensive and they understand their customers. Support is superb!","JIRA Software, LeanKit by Planview, Slack"
groove,James Gullick,Sales Team Lead,"Fond, Inc.",Score 10 out of 10,"Groove Review: ""Huge time saver for sales teams!""","['Saves time in writing emails', 'Provides great tracking for email campaigns and drips']",['Sometimes the info grabbed in the SalesForce (Gmail plugin) sync is incorrect.'],Groove is great for sales teams looking to streamline emailing and prospecting processes.,"Groove has helped our team tremendously. My favorite piece is the Gmail plugin - we are able to bring in email templates, add in user info to SalesForce and place individuals into drips with ease. Groove has become an integral part of our day-to-day and we couldn't be as effective without it!","ToutApp
I like the UI more and the flow of the technology",Gong.io
groove,Daniel Cameron,Account Executive,Intersection Co.,Score 10 out of 10,"User Review: ""Groove is the best!""","['Salesforce integration', 'Gmail integration', 'Reminders', 'Link, email tracking']",['I truly do not have anything bad to say about Groove. They sent a rep out to meet with our sales reps to maximize the product specifically for us.'],Groove is a must for salespeople who are reaching out to many prospects and clients on a daily basis. The reminders and insights will always keep you a step ahead and will help drive business for you.,"At Intersection, our sales team uses Groove to help with the day to day processes of business development and account management. I personally use Groove to manage my mail merge lists with special sales opportunities, proposal tracking and follow up reminders. The app adds features to Gmail that will help with scheduling and your CRM processes. The integration to Salesforce is great because I can submit meeting summaries, leads and contacts directly from my email chain which eliminates time and the need to switch applications. As a salesperson working many different clients the reminders and tracking are key because this provides insights into the next steps and client reception to your messages.",This is the first time I've had a product like this in all my time of being a salesperson.,
